,start_station_name,end_station_name,value
207822,Roosevelt Island Tramway,Roosevelt Island Tramway,8211.0
212678,Soissons Landing,Soissons Landing,7275.0
273022,Yankee Ferry Terminal,Yankee Ferry Terminal,5759.0
10195,12 Ave & W 40 St,12 Ave & W 40 St,5405.0
266106,West St & Chambers St,West St & Chambers St,4767.0
265838,West St & Chambers St,Pier 40 - Hudson River Park,4584.0
273006,Yankee Ferry Terminal,Soissons Landing,4556.0
185255,North Moore St & Greenwich St,Vesey St & Church St,4523.0
212699,Soissons Landing,Yankee Ferry Terminal,4299.0
192049,Pier 40 - Hudson River Park,West St & Chambers St,4222.0
207807,Roosevelt Island Tramway,Motorgate,4212.0
179809,Motorgate,Roosevelt Island Tramway,4193.0
183168,N 6 St & Bedford Ave,S 4 St & Wythe Ave,4172.0
11153,12 Ave & W 40 St,West St & Chambers St,3858.0
173091,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,3802.0
126596,E 72 St & York Ave,2 Ave & E 72 St,3766.0
265114,West St & Chambers St,10 Ave & W 14 St,3692.0
229803,Vesey St & Church St,North Moore St & Greenwich St,3618.0
6462,10 Ave & W 14 St,West St & Chambers St,3601.0
168721,Little West St & 1 Pl,West St & Liberty St,3594.0
10183,12 Ave & W 40 St,10 Ave & W 14 St,3510.0
209130,S 4 St & Wythe Ave,N 6 St & Bedford Ave,3476.0
216224,Southpoint Park,Roosevelt Island Tramway,3425.0
207831,Roosevelt Island Tramway,Southpoint Park,3377.0
176119,Milton St & Franklin St,Kent Ave & N 7 St,3339.0
9133,11 Ave & W 41 St,W 34 St & 11 Ave,3312.0
31435,46 Ave & 5 St,Vernon Blvd & 50 Ave,3290.0
265125,West St & Chambers St,12 Ave & W 40 St,3245.0
228388,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,3238.0
267044,West St & Liberty St,West St & Chambers St,3224.0
139018,Franklin St & Dupont St,Vernon Blvd & 50 Ave,3198.0
267045,West St & Liberty St,West St & Liberty St,3170.0
70798,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,3098.0
228264,Vernon Blvd & 50 Ave,Franklin St & Dupont St,3061.0
212672,Soissons Landing,Picnic Point,3003.0
266716,West St & Liberty St,Little West St & 1 Pl,2937.0
78891,Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,2933.0
29745,45 Ave & 21 St,46 Ave & 5 St,2924.0
227929,Vernon Blvd & 50 Ave,46 Ave & 5 St,2880.0
216227,Southpoint Park,Southpoint Park,2871.0
30840,46 Ave & 5 St,45 Ave & 21 St,2866.0
40188,6 Ave & W 33 St,E 33 St & 1 Ave,2858.0
149743,Greenwich St & W Houston St,Pier 40 - Hudson River Park,2849.0
160013,Kent Ave & N 7 St,Milton St & Franklin St,2842.0
191167,Picnic Point,Soissons Landing,2825.0
200505,Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,2750.0
14342,2 Ave & E 72 St,E 72 St & York Ave,2739.0
253245,W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,2735.0
5543,10 Ave & W 14 St,10 Ave & W 14 St,2722.0
114702,E 33 St & 1 Ave,6 Ave & W 33 St,2699.0
185254,North Moore St & Greenwich St,Vesey Pl & River Terrace,2685.0
199729,River Ter & Warren St,Vesey Pl & River Terrace,2665.0
115476,E 33 St & 1 Ave,W 31 St & 7 Ave,2651.0
10886,12 Ave & W 40 St,Pier 40 - Hudson River Park,2647.0
8882,11 Ave & W 27 St,W 26 St & 8 Ave,2637.0
253281,W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,2624.0
192050,Pier 40 - Hudson River Park,West St & Liberty St,2594.0
159832,Kent Ave & N 7 St,Franklin St & Dupont St,2590.0
6463,10 Ave & W 14 St,West St & Liberty St,2582.0
179781,Motorgate,Motorgate,2542.0
101020,E 102 St & 1 Ave,2 Ave & E 96 St,2505.0
114451,E 32 St & Park Ave,E 33 St & 1 Ave,2479.0
256983,Wards Meadow Comfort Station,Wards Meadow Comfort Station,2468.0
183207,N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,2437.0
266107,West St & Chambers St,West St & Liberty St,2436.0
200685,Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,2401.0
242549,W 26 St & 8 Ave,11 Ave & W 27 St,2359.0
236567,W 16 St & The High Line,8 Ave & W 16 St,2353.0
191181,Picnic Point,Yankee Ferry Terminal,2341.0
229435,Vesey Pl & River Terrace,North Moore St & Greenwich St,2336.0
85029,Clinton St & Grand St,Clinton St & Cherry St,2311.0
154330,Huron St & Franklin St,Kent Ave & N 7 St,2296.0
228083,Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,2288.0
211680,Shore Blvd & Astoria Park,Shore Blvd & Astoria Park,2273.0
114703,E 33 St & 1 Ave,6 Ave & W 34 St,2269.0
114564,E 33 St & 1 Ave,2 Ave & E 31 St,2256.0
159908,Kent Ave & N 7 St,Huron St & Franklin St,2254.0
116625,E 40 St & Park Ave,E 33 St & 1 Ave,2254.0
273002,Yankee Ferry Terminal,Picnic Point,2232.0
9134,11 Ave & W 41 St,W 44 St & 11 Ave,2207.0
1038,1 Ave & E 30 St,2 Ave & E 29 St,2201.0
252947,W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,2200.0
265398,West St & Chambers St,Christopher St & Greenwich St,2195.0
155047,India St & Manhattan Ave,Franklin St & Dupont St,2164.0
229556,Vesey Pl & River Terrace,Vesey Pl & River Terrace,2155.0
53054,Atlantic Ave & Furman St,Atlantic Ave & Furman St,2145.0
266006,West St & Chambers St,W 22 St & 10 Ave,2139.0
267851,West Thames St,West Thames St,2134.0
78508,Center Blvd & 51 Ave,Center Blvd & 51 Ave,2132.0
267850,West Thames St,West St & Liberty St,2125.0
138766,Franklin St & Dupont St,Kent Ave & N 7 St,2122.0
115000,E 33 St & 1 Ave,E 40 St & Park Ave,2106.0
266138,West St & Liberty St,10 Ave & W 14 St,2083.0
138750,Franklin St & Dupont St,India St & Manhattan Ave,2073.0
1942,1 Ave & E 39 St,1 Ave & E 44 St,2057.0
159911,Kent Ave & N 7 St,India St Pier,2048.0
259877,Washington St & Gansevoort St,Washington St & Gansevoort St,2044.0
9424,12 Ave & W 125 St,12 Ave & W 125 St,2033.0
168720,Little West St & 1 Pl,West St & Chambers St,2028.0
187255,Old Slip & South St,South St & Gouverneur Ln,2022.0
191796,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,2022.0
266094,West St & Chambers St,Washington St & Gansevoort St,2011.0
159928,Kent Ave & N 7 St,Kent Ave & N 7 St,2005.0
14488,2 Ave & E 96 St,E 102 St & 1 Ave,1988.0
266796,West St & Liberty St,Pier 40 - Hudson River Park,1930.0
84424,Clinton St & Cherry St,Clinton St & Grand St,1929.0
168428,Little West St & 1 Pl,Little West St & 1 Pl,1925.0
259889,Washington St & Gansevoort St,West St & Chambers St,1924.0
114991,E 33 St & 1 Ave,E 32 St & Park Ave,1908.0
30837,46 Ave & 5 St,44 Dr & Jackson Ave,1900.0
265758,West St & Chambers St,Little West St & 1 Pl,1889.0
266901,West St & Liberty St,Vesey Pl & River Terrace,1862.0
5551,10 Ave & W 14 St,12 Ave & W 40 St,1827.0
247693,W 44 St & 11 Ave,W 44 St & 5 Ave,1810.0
155642,India St Pier,Kent Ave & N 7 St,1809.0
191207,Pier 40 - Hudson River Park,12 Ave & W 40 St,1802.0
272629,Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave,1785.0
82069,Christopher St & Greenwich St,West St & Chambers St,1782.0
135413,FDR Drive & E 35 St,FDR Drive & E 35 St,1782.0
204433,Riverside Dr & W 72 St,Riverside Dr & W 72 St,1779.0
114535,E 33 St & 1 Ave,1 Ave & E 39 St,1769.0
229688,Vesey Pl & River Terrace,West St & Chambers St,1767.0
205911,Riverside Dr & W 82 St,Riverside Dr & W 82 St,1762.0
272716,Wythe Ave & Metropolitan Ave,S 4 St & Wythe Ave,1762.0
774,1 Ave & E 16 St,E 33 St & 1 Ave,1756.0
176521,Milton St & Franklin St,Wythe Ave & Metropolitan Ave,1745.0
11154,12 Ave & W 40 St,West St & Liberty St,1745.0
265988,West St & Chambers St,W 16 St & The High Line,1738.0
168592,Little West St & 1 Pl,Vesey Pl & River Terrace,1726.0
82063,Christopher St & Greenwich St,Washington St & Gansevoort St,1719.0
253137,W 67 St & Broadway,W 64 St & Thelonious Monk Circle,1718.0
156480,Jackson Ave & 46 Rd,46 Ave & 5 St,1714.0
31231,46 Ave & 5 St,Jackson Ave & 46 Rd,1703.0
61159,Berry St & N 8 St,Milton St & Franklin St,1691.0
243223,W 31 St & 7 Ave,1 Ave & E 30 St,1683.0
265907,West St & Chambers St,Spring St & Hudson St,1683.0
111970,E 20 St & FDR Dr,E 20 St & FDR Dr,1662.0
243288,W 31 St & 7 Ave,E 33 St & 1 Ave,1660.0
714,1 Ave & E 16 St,1 Ave & E 30 St,1660.0
29407,44 Dr & Jackson Ave,46 Ave & 5 St,1652.0
256348,Wards Meadow Comfort Station,2 Ave & E 96 St,1649.0
272948,Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,1642.0
209217,S 4 St & Wythe Ave,S 4 St & Wythe Ave,1640.0
244325,W 34 St & 11 Ave,W 34 St & 11 Ave,1627.0
10908,12 Ave & W 40 St,Riverside Blvd & W 67 St,1623.0
267849,West Thames St,West St & Chambers St,1618.0
213872,South St & Gouverneur Ln,South St & Whitehall St,1615.0
114992,E 33 St & 1 Ave,E 33 St & 1 Ave,1612.0
247692,W 44 St & 11 Ave,W 44 St & 11 Ave,1606.0
1832,1 Ave & E 30 St,W 31 St & 7 Ave,1597.0
191195,Pier 40 - Hudson River Park,10 Ave & W 14 St,1595.0
65133,Broadway & Battery Pl,Little West St & 1 Pl,1575.0
252945,W 64 St & Thelonious Monk Circle,W 64 St & Thelonious Monk Circle,1570.0
199892,Riverside Blvd & W 67 St,12 Ave & W 40 St,1567.0
112866,E 20 St & Park Ave,E 20 St & FDR Dr,1562.0
244410,W 34 St & 11 Ave,West St & Chambers St,1557.0
243571,W 34 St & 11 Ave,11 Ave & W 41 St,1533.0
250946,W 54 St & 11 Ave,12 Ave & W 40 St,1521.0
216212,Southpoint Park,Motorgate,1518.0
208616,S 4 St & Wythe Ave,Berry St & N 8 St,1515.0
156501,Jackson Ave & 46 Rd,Center Blvd & 51 Ave,1510.0
923,1 Ave & E 18 St,E 33 St & 1 Ave,1503.0
153936,Hudson St & Reade St,North Moore St & Greenwich St,1495.0
241577,W 22 St & 10 Ave,West St & Chambers St,1494.0
228857,Vesey Pl & River Terrace,10 Ave & W 14 St,1492.0
186358,Old Fulton St,Old Fulton St,1484.0
8096,11 Ave & W 27 St,11 Ave & W 27 St,1482.0
266014,West St & Chambers St,W 30 St & 10 Ave,1481.0
1945,1 Ave & E 39 St,1 Ave & E 68 St,1478.0
214038,South St & Gouverneur Ln,West St & Liberty St,1477.0
11028,12 Ave & W 40 St,W 16 St & The High Line,1475.0
114993,E 33 St & 1 Ave,E 33 St & 5 Ave,1469.0
243574,W 34 St & 11 Ave,12 Ave & W 40 St,1467.0
201373,Riverside Dr & W 104 St,Riverside Dr & W 104 St,1464.0
185387,North Moore St & Greenwich St,West St & Liberty St,1460.0
252946,W 64 St & Thelonious Monk Circle,W 67 St & Broadway,1451.0
266315,West St & Liberty St,Broadway & Battery Pl,1442.0
215496,South St & Whitehall St,South St & Gouverneur Ln,1433.0
111656,E 20 St & FDR Dr,1 Ave & E 18 St,1431.0
191164,Picnic Point,Picnic Point,1429.0
183130,N 6 St & Bedford Ave,Franklin St & Dupont St,1427.0
175722,Milton St & Franklin St,Berry St & N 8 St,1426.0
114563,E 33 St & 1 Ave,2 Ave & E 29 St,1425.0
168068,Little West St & 1 Pl,Broadway & Battery Pl,1416.0
247671,W 44 St & 11 Ave,W 34 St & 11 Ave,1416.0
266773,West St & Liberty St,North Moore St & Greenwich St,1412.0
181651,N 11 St & Kent Ave,Kent Ave & N 7 St,1412.0
183146,N 6 St & Bedford Ave,Milton St & Franklin St,1409.0
1018,1 Ave & E 30 St,1 Ave & E 39 St,1405.0
117325,E 44 St & Lexington Ave,E 33 St & 1 Ave,1402.0
40357,6 Ave & W 34 St,E 33 St & 1 Ave,1401.0
266108,West St & Chambers St,West Thames St,1399.0
138749,Franklin St & Dupont St,Huron St & Franklin St,1398.0
266148,West St & Liberty St,12 Ave & W 40 St,1391.0
9001,11 Ave & W 41 St,11 Ave & W 27 St,1387.0
209218,S 4 St & Wythe Ave,S 5 Pl & S 5 St,1386.0
100154,Dyckman St & Staff St,Dyckman St & Staff St,1385.0
206644,Riverside Dr & W 91 St,Riverside Dr & W 91 St,1378.0
155625,India St Pier,India St & Manhattan Ave,1376.0
236776,W 16 St & The High Line,E 16 St & 5 Ave,1376.0
180337,Murray St & Greenwich St,West Thames St,1376.0
267710,West Thames St,Vesey Pl & River Terrace,1369.0
251063,W 54 St & 11 Ave,W 34 St & 11 Ave,1358.0
267046,West St & Liberty St,West Thames St,1357.0
265675,West St & Chambers St,Greenwich St & W Houston St,1356.0
25,1 Ave & E 110 St,2 Ave & E 96 St,1355.0
272117,Wythe Ave & Metropolitan Ave,Broadway & Berry St,1353.0
266018,West St & Chambers St,W 34 St & 11 Ave,1352.0
113679,E 27 St & 1 Ave,1 Ave & E 39 St,1350.0
114977,E 33 St & 1 Ave,E 20 St & 2 Ave,1346.0
8978,11 Ave & W 27 St,West St & Chambers St,1345.0
116635,E 40 St & Park Ave,FDR Drive & E 35 St,1341.0
129949,E 85 St & 3 Ave,E 82 St & East End Ave,1336.0
134929,FDR Drive & E 35 St,1 Ave & E 39 St,1331.0
191727,Pier 40 - Hudson River Park,Little West St & 1 Pl,1323.0
52480,Astoria Park S & Shore Blvd,Astoria Park S & Shore Blvd,1323.0
113178,E 23 St & 1 Ave,E 33 St & 1 Ave,1320.0
61144,Berry St & N 8 St,Franklin St & Dupont St,1319.0
772,1 Ave & E 16 St,E 20 St & FDR Dr,1317.0
265285,West St & Chambers St,Bank St & Washington St,1317.0
263210,Water St & Main St,Water St & Main St,1306.0
185131,North Moore St & Greenwich St,Murray St & Greenwich St,1304.0
237212,W 16 St & The High Line,W 16 St & The High Line,1302.0
213870,South St & Gouverneur Ln,South St & Gouverneur Ln,1302.0
209788,Sands St & Jay St,Flushing Ave & Vanderbilt Ave,1298.0
111655,E 20 St & FDR Dr,1 Ave & E 16 St,1295.0
128812,E 81 St & York Ave,E 72 St & York Ave,1285.0
113725,E 27 St & 1 Ave,E 33 St & 1 Ave,1273.0
114995,E 33 St & 1 Ave,E 39 St & 2 Ave,1272.0
248746,W 46 St & 11 Ave,W 44 St & 11 Ave,1270.0
237210,W 16 St & The High Line,W 15 St & 7 Ave,1267.0
266093,West St & Chambers St,Washington St & Barrow St,1261.0
259890,Washington St & Gansevoort St,West St & Liberty St,1258.0
235819,W 15 St & 6 Ave,W 15 St & 10 Ave,1258.0
454,1 Ave & E 110 St,Lexington Ave & E 111 St,1256.0
176206,Milton St & Franklin St,Milton St & Franklin St,1255.0
179823,Motorgate,Southpoint Park,1254.0
138406,Franklin St & Dupont St,Berry St & N 8 St,1251.0
272599,Wythe Ave & Metropolitan Ave,Milton St & Franklin St,1246.0
265797,West St & Chambers St,Morton St & Washington St,1246.0
243083,W 30 St & 10 Ave,West St & Chambers St,1242.0
266001,West St & Chambers St,W 20 St & 10 Ave,1241.0
138678,Franklin St & Dupont St,Franklin St & Dupont St,1239.0
6371,10 Ave & W 14 St,W 30 St & 10 Ave,1238.0
237209,W 16 St & The High Line,W 15 St & 6 Ave,1235.0
208640,S 4 St & Wythe Ave,Broadway & Roebling St,1235.0
6125,10 Ave & W 14 St,Little West St & 1 Pl,1234.0
229381,Vesey Pl & River Terrace,Little West St & 1 Pl,1233.0
229786,Vesey St & Church St,Greenwich St & Hubert St,1231.0
101230,E 102 St & 1 Ave,E 103 St & Lexington Ave,1224.0
115643,E 33 St & 5 Ave,E 33 St & 1 Ave,1221.0
1944,1 Ave & E 39 St,1 Ave & E 62 St,1214.0
235950,W 15 St & 7 Ave,W 15 St & 10 Ave,1209.0
149983,Greenwich St & W Houston St,West St & Chambers St,1208.0
209016,S 4 St & Wythe Ave,Kent Ave & N 7 St,1206.0
4125,1 Ave & E 62 St,E 72 St & York Ave,1206.0
14561,2 Ave & E 96 St,Wards Meadow Comfort Station,1203.0
159910,Kent Ave & N 7 St,India St & Manhattan Ave,1201.0
131048,E 89 St & York Ave,E 72 St & York Ave,1200.0
78372,Center Blvd & 51 Ave,44 Dr & Jackson Ave,1198.0
259256,Washington St & Gansevoort St,Christopher St & Greenwich St,1197.0
71648,Bus Slip & State St,Bus Slip & State St,1190.0
199858,River Ter & Warren St,West St & Chambers St,1189.0
78718,Center Blvd & 51 Ave,Jackson Ave & 46 Rd,1189.0
9003,11 Ave & W 41 St,12 Ave & W 40 St,1185.0
127061,E 72 St & York Ave,E 72 St & York Ave,1183.0
247017,W 44 St & 11 Ave,8 Ave & W 33 St,1182.0
65197,Broadway & Battery Pl,West St & Liberty St,1176.0
30842,46 Ave & 5 St,46 Ave & 5 St,1174.0
101838,E 103 St & Lexington Ave,E 102 St & 1 Ave,1173.0
185057,North Moore St & Greenwich St,Hudson St & Reade St,1170.0
264722,West End Ave & W 60 St,W 64 St & Thelonious Monk Circle,1169.0
101929,E 106 St & 1 Ave,2 Ave & E 96 St,1166.0
185147,North Moore St & Greenwich St,North Moore St & Greenwich St,1164.0
183139,N 6 St & Bedford Ave,Kent Ave & N 7 St,1163.0
113123,E 23 St & 1 Ave,1 Ave & E 30 St,1162.0
252299,W 64 St & Thelonious Monk Circle,Amsterdam Ave & W 66 St,1160.0
87463,Columbia St & Degraw St,Atlantic Ave & Furman St,1155.0
121140,E 54 St & 1 Ave,1 Ave & E 68 St,1150.0
200007,Riverside Blvd & W 67 St,Amsterdam Ave & W 73 St,1150.0
11063,12 Ave & W 40 St,W 34 St & 11 Ave,1148.0
215498,South St & Whitehall St,South St & Whitehall St,1144.0
11100,12 Ave & W 40 St,W 54 St & 11 Ave,1141.0
57975,Bank St & Washington St,West St & Chambers St,1140.0
176230,Milton St & Franklin St,N 6 St & Bedford Ave,1139.0
235951,W 15 St & 7 Ave,W 16 St & The High Line,1136.0
260275,Washington St & Laight St,Greenwich St & Hubert St,1135.0
131062,E 89 St & York Ave,E 85 St & 3 Ave,1133.0
69760,Broadway & W 61 St,W 64 St & Thelonious Monk Circle,1131.0
264064,Watts St & Greenwich St,Watts St & Greenwich St,1130.0
1941,1 Ave & E 39 St,1 Ave & E 39 St,1128.0
921,1 Ave & E 18 St,E 20 St & FDR Dr,1128.0
126620,E 72 St & York Ave,3 Ave & E 62 St,1127.0
215678,South St & Whitehall St,West St & Liberty St,1126.0
139136,Franklin St & Dupont St,Wythe Ave & Metropolitan Ave,1125.0
114109,E 30 St & Park Ave S,1 Ave & E 30 St,1125.0
8881,11 Ave & W 27 St,W 26 St & 10 Ave,1124.0
127075,E 72 St & York Ave,E 85 St & 3 Ave,1120.0
167927,Little West St & 1 Pl,10 Ave & W 14 St,1116.0
113678,E 27 St & 1 Ave,1 Ave & E 30 St,1116.0
205909,Riverside Dr & W 82 St,Riverside Dr & W 72 St,1115.0
252980,W 64 St & Thelonious Monk Circle,West End Ave & W 60 St,1107.0
243663,W 34 St & 11 Ave,8 Ave & W 33 St,1107.0
200683,Riverside Blvd & W 67 St,W 64 St & Thelonious Monk Circle,1106.0
229477,Vesey Pl & River Terrace,River Ter & Warren St,1106.0
191658,Pier 40 - Hudson River Park,Greenwich St & W Houston St,1105.0
17975,27 St & Hunter St,46 Ave & 5 St,1105.0
127081,E 72 St & York Ave,E 89 St & York Ave,1103.0
237225,W 16 St & The High Line,W 21 St & 6 Ave,1100.0
167859,Lispenard St & Broadway,North Moore St & Greenwich St,1099.0
10915,12 Ave & W 40 St,Riverside Dr & W 72 St,1098.0
272488,Wythe Ave & Metropolitan Ave,Hope St & Union Ave,1098.0
10808,12 Ave & W 40 St,Little West St & 1 Pl,1096.0
266851,West St & Liberty St,South St & Gouverneur Ln,1096.0
154391,Huron St & Franklin St,Wythe Ave & Metropolitan Ave,1096.0
203836,Riverside Dr & W 72 St,12 Ave & W 40 St,1094.0
111973,E 20 St & FDR Dr,E 23 St & 1 Ave,1093.0
135306,FDR Drive & E 35 St,E 20 St & FDR Dr,1091.0
174135,Meserole Ave & Manhattan Ave,Wythe Ave & Metropolitan Ave,1090.0
129237,E 82 St & East End Ave,E 85 St & 3 Ave,1090.0
138842,Franklin St & Dupont St,Milton St & Franklin St,1088.0
30754,46 Ave & 5 St,27 St & Hunter St,1086.0
266348,West St & Liberty St,Bus Slip & State St,1085.0
168496,Little West St & 1 Pl,Pier 40 - Hudson River Park,1084.0
267211,West Thames St,Broadway & Battery Pl,1081.0
252778,W 64 St & Thelonious Monk Circle,Riverside Blvd & W 67 St,1081.0
228319,Vernon Blvd & 50 Ave,Huron St & Franklin St,1081.0
251064,W 54 St & 11 Ave,W 44 St & 11 Ave,1077.0
229690,Vesey Pl & River Terrace,West Thames St,1073.0
247112,W 44 St & 11 Ave,Broadway & W 41 St,1072.0
70746,Brooklyn Bridge Park - Pier 2,Atlantic Ave & Furman St,1072.0
247689,W 44 St & 11 Ave,W 42 St & 8 Ave,1071.0
174085,Meserole Ave & Manhattan Ave,Kent Ave & N 7 St,1070.0
243567,W 34 St & 11 Ave,10 Ave & W 14 St,1070.0
2405,1 Ave & E 39 St,E 51 St & 1 Ave,1067.0
126577,E 72 St & York Ave,1 Ave & E 68 St,1064.0
266611,West St & Liberty St,Fulton St & Broadway,1064.0
265960,West St & Chambers St,W 10 St & Washington St,1060.0
265394,West St & Chambers St,Centre St & Chambers St,1057.0
6204,10 Ave & W 14 St,Pier 40 - Hudson River Park,1056.0
29429,44 Dr & Jackson Ave,Center Blvd & 51 Ave,1055.0
101228,E 102 St & 1 Ave,E 102 St & 1 Ave,1055.0
65719,Broadway & E 21 St,E 20 St & FDR Dr,1055.0
81592,Cherry St,Henry St & Grand St,1055.0
159874,Kent Ave & N 7 St,Greenpoint Ave & Manhattan Ave,1053.0
2962,1 Ave & E 44 St,1 Ave & E 68 St,1052.0
65198,Broadway & Battery Pl,West Thames St,1051.0
235682,W 15 St & 10 Ave,West St & Chambers St,1050.0
142876,Fulton St & Broadway,West St & Liberty St,1050.0
84423,Clinton St & Cherry St,Clinton St & Cherry St,1049.0
35947,5 Ave & E 72 St,E 72 St & York Ave,1047.0
126578,E 72 St & York Ave,1 Ave & E 78 St,1047.0
51649,Amsterdam Ave & W 73 St,W 64 St & Thelonious Monk Circle,1046.0
111832,E 20 St & FDR Dr,Broadway & E 21 St,1046.0
155626,India St Pier,India St Pier,1044.0
246430,W 42 St & 6 Ave,W 44 St & 11 Ave,1039.0
265866,West St & Chambers St,Riverside Blvd & W 67 St,1039.0
264600,West End Ave & W 60 St,12 Ave & W 40 St,1038.0
111983,E 20 St & FDR Dr,E 33 St & 1 Ave,1037.0
1415,1 Ave & E 30 St,E 33 St & 1 Ave,1036.0
267545,West Thames St,Little West St & 1 Pl,1034.0
42973,8 Ave & W 16 St,W 16 St & The High Line,1034.0
266853,West St & Liberty St,South St & Whitehall St,1034.0
267578,West Thames St,Murray St & Greenwich St,1031.0
154775,Icahn Stadium,Icahn Stadium,1030.0
264718,West End Ave & W 60 St,W 34 St & 11 Ave,1030.0
155056,India St & Manhattan Ave,Kent Ave & N 7 St,1027.0
201381,Riverside Dr & W 104 St,Riverside Dr & W 91 St,1027.0
214637,South St & Pike St,South St & Pike St,1025.0
160008,Kent Ave & N 7 St,Meserole Ave & Manhattan Ave,1024.0
216380,Spring St & Hudson St,West St & Chambers St,1020.0
2961,1 Ave & E 44 St,1 Ave & E 62 St,1017.0
264719,West End Ave & W 60 St,W 44 St & 11 Ave,1016.0
200639,Riverside Blvd & W 67 St,W 34 St & 11 Ave,1009.0
237325,W 16 St & The High Line,West St & Chambers St,1008.0
209098,S 4 St & Wythe Ave,Metropolitan Ave & Bedford Ave,1008.0
182104,N 12 St & Bedford Ave,Milton St & Franklin St,1007.0
65360,Broadway & Berry St,Wythe Ave & Metropolitan Ave,1007.0
114539,E 33 St & 1 Ave,1 Ave & E 68 St,1004.0
131067,E 89 St & York Ave,E 89 St & 3 Ave,1003.0
233247,W 13 St & 7 Ave,Washington St & Gansevoort St,1000.0
131068,E 89 St & York Ave,E 89 St & York Ave,999.0
9147,11 Ave & W 41 St,West St & Chambers St,998.0
149350,Greenwich St & W Houston St,Christopher St & Greenwich St,997.0
156878,Jay St & York St,Flushing Ave & Vanderbilt Ave,996.0
57331,Bank St & Washington St,Bank St & Washington St,995.0
97182,Dock St & Front St,Old Fulton St,993.0
136914,Flushing Ave & Vanderbilt Ave,Sands St & Jay St,992.0
185904,Old Fulton St,Atlantic Ave & Furman St,991.0
864,1 Ave & E 18 St,1 Ave & E 30 St,991.0
267030,West St & Liberty St,Washington St & Gansevoort St,990.0
176313,Milton St & Franklin St,S 4 St & Wythe Ave,990.0
119507,E 51 St & 1 Ave,1 Ave & E 62 St,989.0
53495,Atlantic Ave & Furman St,Old Fulton St,988.0
149594,Greenwich St & W Houston St,Greenwich St & W Houston St,987.0
204435,Riverside Dr & W 72 St,Riverside Dr & W 82 St,986.0
10190,12 Ave & W 40 St,11 Ave & W 27 St,985.0
266099,West St & Chambers St,Watts St & Greenwich St,981.0
200723,Riverside Blvd & W 67 St,West End Ave & W 60 St,981.0
54052,Ave A & E 14 St,Ave D & E 8 St,981.0
4490,1 Ave & E 78 St,E 89 St & York Ave,979.0
244049,W 34 St & 11 Ave,Hudson Blvd E & W 36 St,979.0
266031,West St & Chambers St,W 4 St & 7 Ave S,979.0
80903,Centre St & Chambers St,West St & Chambers St,978.0
127071,E 72 St & York Ave,E 81 St & York Ave,976.0
53178,Atlantic Ave & Furman St,Columbia St & Degraw St,975.0
192051,Pier 40 - Hudson River Park,West Thames St,974.0
228321,Vernon Blvd & 50 Ave,India St & Manhattan Ave,974.0
129951,E 85 St & 3 Ave,E 89 St & York Ave,974.0
17627,27 Ave & 9 St,31 St & Newtown Ave,973.0
248041,W 45 St & 8 Ave,W 44 St & 11 Ave,972.0
147844,Greenpoint Ave & Manhattan Ave,Kent Ave & N 7 St,972.0
126576,E 72 St & York Ave,1 Ave & E 62 St,972.0
95031,Ditmars Blvd & 19 St,31 St & 23 Ave,971.0
252300,W 64 St & Thelonious Monk Circle,Amsterdam Ave & W 73 St,966.0
53108,Atlantic Ave & Furman St,Brooklyn Bridge Park - Pier 2,965.0
130194,E 85 St & York Ave,E 72 St & York Ave,965.0
121139,E 54 St & 1 Ave,1 Ave & E 62 St,964.0
6316,10 Ave & W 14 St,Vesey Pl & River Terrace,963.0
272417,Wythe Ave & Metropolitan Ave,Franklin St & Dupont St,963.0
8184,11 Ave & W 27 St,8 Ave & W 31 St,963.0
115912,E 39 St & 2 Ave,E 33 St & 1 Ave,961.0
6376,10 Ave & W 14 St,W 34 St & 11 Ave,960.0
19636,3 Ave & E 62 St,E 72 St & York Ave,960.0
30841,46 Ave & 5 St,45 Rd & 11 St,957.0
204426,Riverside Dr & W 72 St,Riverside Blvd & W 67 St,956.0
235820,W 15 St & 6 Ave,W 16 St & The High Line,954.0
265673,West St & Chambers St,Greenwich St & Perry St,953.0
246585,W 42 St & 8 Ave,W 44 St & 11 Ave,952.0
244188,W 34 St & 11 Ave,Riverside Blvd & W 67 St,951.0
247024,W 44 St & 11 Ave,9 Ave & W 45 St,951.0
184433,Norfolk St & Broome St,Clinton St & Cherry St,950.0
159523,Kent Ave & N 7 St,Bedford Ave & Nassau Ave,950.0
