,date,bike_rides_daily
265,2022-09-23,113272
266,2022-09-24,113146
267,2022-09-25,86810
268,2022-09-26,105459
269,2022-09-27,116586
270,2022-09-28,123677
271,2022-09-29,121411
272,2022-09-30,115282
273,2022-10-01,59778
274,2022-10-02,51635
275,2022-10-03,49566
276,2022-10-04,51994
277,2022-10-05,69309
278,2022-10-06,123901
279,2022-10-07,123619
280,2022-10-08,100747
281,2022-10-09,93815
282,2022-10-10,96125
283,2022-10-11,112059
284,2022-10-12,118695
285,2022-10-13,73732
286,2022-10-14,114921
287,2022-10-15,118062
288,2022-10-16,101163
289,2022-10-17,88784
290,2022-10-18,101005
291,2022-10-19,99852
292,2022-10-20,104413
293,2022-10-21,108664
294,2022-10-22,111348
295,2022-10-23,66604
296,2022-10-24,66311
297,2022-10-25,98171
298,2022-10-26,112685
299,2022-10-27,115653
300,2022-10-28,106226
301,2022-10-29,105008
302,2022-10-30,95656
303,2022-10-31,96458
304,2022-11-01,103775
305,2022-11-02,117444
306,2022-11-03,116776
307,2022-11-04,118788
308,2022-11-05,122101
309,2022-11-06,103297
310,2022-11-07,107226
311,2022-11-08,96598
312,2022-11-09,95500
313,2022-11-10,109046
314,2022-11-11,54871
315,2022-11-12,113802
316,2022-11-13,69264
317,2022-11-14,73998
318,2022-11-15,64512
319,2022-11-16,76960
320,2022-11-17,78388
321,2022-11-18,73521
322,2022-11-19,59493
323,2022-11-20,45018
324,2022-11-21,59696
325,2022-11-22,74006
326,2022-11-23,73869
327,2022-11-24,37888
328,2022-11-25,43128
329,2022-11-26,59617
330,2022-11-27,34622
331,2022-11-28,73068
332,2022-11-29,75411
333,2022-11-30,54667
334,2022-12-01,73173
335,2022-12-02,74951
336,2022-12-03,45429
337,2022-12-04,62606
338,2022-12-05,73891
339,2022-12-06,52639
340,2022-12-07,74044
341,2022-12-08,89347
342,2022-12-09,76825
343,2022-12-10,63441
344,2022-12-11,32718
345,2022-12-12,59960
346,2022-12-13,65507
347,2022-12-14,67388
348,2022-12-15,44106
349,2022-12-16,28414
350,2022-12-17,59369
351,2022-12-18,48245
352,2022-12-19,54328
353,2022-12-20,58639
354,2022-12-21,59180
355,2022-12-22,39131
356,2022-12-23,26043
357,2022-12-24,11542
358,2022-12-25,9164
359,2022-12-26,19221
360,2022-12-27,33044
361,2022-12-28,44027
362,2022-12-29,51674
363,2022-12-30,62298
